Timestamp,ECG
07/05/2018 10:47:27.718,2027
07/05/2018 10:47:27.722,2027
07/05/2018 10:47:27.726,2028
07/05/2018 10:47:27.730,2029
07/05/2018 10:47:27.734,2030
07/05/2018 10:47:27.738,2030
07/05/2018 10:47:27.742,2030
07/05/2018 10:47:27.746,2029
07/05/2018 10:47:27.750,2029
07/05/2018 10:47:27.754,2029
07/05/2018 10:47:27.758,2029
07/05/2018 10:47:27.762,2029
07/05/2018 10:47:27.766,2029
07/05/2018 10:47:27.770,2029
07/05/2018 10:47:27.774,2029
07/05/2018 10:47:27.778,2029
07/05/2018 10:47:27.782,2029
07/05/2018 10:47:27.786,2028
07/05/2018 10:47:27.790,2026
07/05/2018 10:47:27.794,2025
07/05/2018 10:47:27.798,2024
07/05/2018 10:47:27.802,2025
07/05/2018 10:47:27.806,2026
07/05/2018 10:47:27.810,2026
07/05/2018 10:47:27.814,2026
07/05/2018 10:47:27.818,2025
07/05/2018 10:47:27.822,2024
07/05/2018 10:47:27.826,2023
07/05/2018 10:47:27.830,2023
07/05/2018 10:47:27.834,2023
07/05/2018 10:47:27.838,2024
07/05/2018 10:47:27.842,2024
07/05/2018 10:47:27.846,2024
07/05/2018 10:47:27.850,2024
07/05/2018 10:47:27.854,2024
07/05/2018 10:47:27.858,2024
07/05/2018 10:47:27.862,2024
07/05/2018 10:47:27.866,2023
07/05/2018 10:47:27.870,2023
07/05/2018 10:47:27.874,2023
07/05/2018 10:47:27.878,2024
07/05/2018 10:47:27.882,2024
07/05/2018 10:47:27.886,2025
07/05/2018 10:47:27.890,2026
07/05/2018 10:47:27.894,2026
07/05/2018 10:47:27.898,2026
07/05/2018 10:47:27.902,2025
07/05/2018 10:47:27.906,2024
07/05/2018 10:47:27.910,2024
07/05/2018 10:47:27.914,2024
07/05/2018 10:47:27.918,2025
07/05/2018 10:47:27.922,2027
07/05/2018 10:47:27.926,2028
07/05/2018 10:47:27.930,2029
07/05/2018 10:47:27.934,2029
07/05/2018 10:47:27.938,2029
07/05/2018 10:47:27.942,2027
07/05/2018 10:47:27.946,2026
07/05/2018 10:47:27.950,2026
07/05/2018 10:47:27.954,2026
07/05/2018 10:47:27.958,2027
07/05/2018 10:47:27.962,2028
07/05/2018 10:47:27.966,2029
07/05/2018 10:47:27.970,2030
07/05/2018 10:47:27.974,2030
07/05/2018 10:47:27.978,2030
07/05/2018 10:47:27.982,2029
07/05/2018 10:47:27.986,2029
07/05/2018 10:47:27.990,2029
07/05/2018 10:47:27.994,2029
07/05/2018 10:47:27.998,2030
07/05/2018 10:47:28.002,2031
07/05/2018 10:47:28.006,2032
07/05/2018 10:47:28.010,2033
07/05/2018 10:47:28.014,2033
07/05/2018 10:47:28.018,2033
07/05/2018 10:47:28.022,2032
07/05/2018 10:47:28.026,2032
07/05/2018 10:47:28.030,2031
07/05/2018 10:47:28.034,2032
07/05/2018 10:47:28.038,2032
07/05/2018 10:47:28.042,2033
07/05/2018 10:47:28.046,2033
07/05/2018 10:47:28.050,2034
07/05/2018 10:47:28.054,2035
07/05/2018 10:47:28.058,2035
